1,Kale Salad with Farro and Honey Dijon Dressing,,,http://www.yummly.com/recipe/external/Kale-Salad-with-Farro-and-Honey-Dijon-Dressing-1472383,900,1,,,https://lh3.googleusercontent.com/qz1IXaP-HhglktkNEpaxKEuJHqW6g9iBKy901HSmhOSMk-nrfX6KTDI18EfNlGEDyj7ObiXMohMiojwMwfsyGw=s90,,
2,Obsessively Good Avocado Cucumber Salad,,,http://www.yummly.com/recipe/external/Obsessively-Good-Avocado-Cucumber-Salad-1066048,900,1,,,http://lh3.googleusercontent.com/Vfv_kuyk_AV_ckczL_ZiG2GNVWdz0HdWmNVArvyJOFyike37tgrS9XXjU9Yfc02a_0Im_GGG6XaTx-lMSs07YA=s90,,
3,Parmesan Zucchini Noodles with Tomato & Basil,,,http://www.yummly.com/recipe/external/Parmesan-Zucchini-Noodles-with-Tomato-_-Basil-1272003,1200,1,,,http://lh3.googleusercontent.com/I8RXURD33cEVpm02UB_3kJJM8MdiBkDtedmtFRJ0rapmZpqfIGmcH80-Y_VgbN979dDCvQoUA9ohrecbfBFJGg=s90,,
4,Toasted Corn & Zucchini Saute,,,http://www.yummly.com/recipe/external/Toasted-Corn-_-Zucchini-Saute-1469566,1500,1,,,http://lh3.ggpht.com/GE9nIh_zq6pXCZUdli7ZjRC7cxqeVyWTUuAUEZYcUPxJ65ove4wl_2pR7LFAemON9LzpzpsYArekEX0UpWlxjdY=s90,,
5,Sautéed Spinach with Pancetta and Dried Cranberries ,,,http://www.yummly.com/recipe/external/Sauteed-Spinach-with-Pancetta-and-Dried-Cranberries--1451321,1800,2,,,https://lh3.googleusercontent.com/6LBhKTLO12phS9er5SzdY_W1abLJ7qvuBOf8UamgJVatl46dFd3k65vKa1OlddCSSsOnjuDVSWlNiZXmTKES=s90,,
6,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
7,Mango Tzatziki Shrimp Bites,,,http://www.yummly.com/recipe/external/Mango-Tzatziki-Shrimp-Bites-1382065,1500,1,,,http://lh3.googleusercontent.com/goI6_E7bZumVPcE5HWYuZhCoeT-KBrEp57Nn2TtFHBdudMe1HFG8BlsbK07ilH0qEbYLQ1hWh6WU-XFxbk7j=s90,,
8,Grilled Southwest Salmon,,,http://www.yummly.com/recipe/external/Grilled-Southwest-Salmon-1453349,1500,1,,,https://lh3.googleusercontent.com/IADxxllksk8uBIFbMtUYmQ5mI-xvsPpdUWoiK_MuNtzd2ARgJhkV1WDdwctdowYEUSh95sSDqOykokLcxSdmkA=s90,,
9,"Perfect for Quick Lunches, Fun Appetizers, and easy Lunchbox Additions!",,,http://www.yummly.com/recipe/external/Perfect-for-Quick-Lunches_-Fun-Appetizers_-and-easy-Lunchbox-Additions_-1448893,1800,2,,,https://lh3.googleusercontent.com/eIcSFD45rx1rUsjAPkR9gp5mOuZPLW0R8k0kxYnHVm_pJoYrZGqwhqNyMiTYu-hH_1n5oybUxvOQO1ZZvUcAFw=s90,,
10,Lightened Up 7-Layer Dip,,,http://www.yummly.com/recipe/external/Lightened-Up-7-Layer-Dip-1192698,600,1,,,http://lh3.googleusercontent.com/NlTUgP_ehiLupvmVw3PKim0_aCRaJBifWcaYx9ordJOZX_NhowWFhhDnVPjGBf7aUkj3PvzIWw8l9QP0Ctwqsw=s90,,
11,Sriracha Popcorn,,,http://www.yummly.com/recipe/external/Sriracha-Popcorn-1474931,1200,1,,,https://lh3.googleusercontent.com/IcRIToi7eVSYHbNOIzDIrecGeiXqn9wZynkJyk2IZx3FwakW-y2-DbePYjbdYEBaAtLcX-VxbTq_LjbwdHXZOA=s90,,
12,Kale Salad with Farro and Honey Dijon Dressing,,,http://www.yummly.com/recipe/external/Kale-Salad-with-Farro-and-Honey-Dijon-Dressing-1472383,900,1,,,https://lh3.googleusercontent.com/qz1IXaP-HhglktkNEpaxKEuJHqW6g9iBKy901HSmhOSMk-nrfX6KTDI18EfNlGEDyj7ObiXMohMiojwMwfsyGw=s90,,
13,Curry Potatoes,,,http://www.yummly.com/recipe/external/Curry-Potatoes-1438936,1500,1,,,https://lh3.googleusercontent.com/tzjGFtJy6c-R9U9rcmFIq68pqOA0vFGpl61cVmqUc9b1eSsQrll2kt-cM3Ngo0VOMZseA6-ktPZ6ahmOGkMTC7Y=s90,,
14,Pastrami Spice Blend,,,http://www.yummly.com/recipe/external/Pastrami-Spice-Blend-1477856,1500,1,,,https://lh3.googleusercontent.com/ME_I7xIuyPxstPPs5uV7awcHvu4aipWXQRqrvOUpN4CTO_-RCxqKMX8TEOlvd2CCTnEVvGIRh8nDcyABnxXR=s90,,
15,Obsessively Good Avocado Cucumber Salad,,,http://www.yummly.com/recipe/external/Obsessively-Good-Avocado-Cucumber-Salad-1066048,900,1,,,http://lh3.googleusercontent.com/Vfv_kuyk_AV_ckczL_ZiG2GNVWdz0HdWmNVArvyJOFyike37tgrS9XXjU9Yfc02a_0Im_GGG6XaTx-lMSs07YA=s90,,
16,Parmesan Zucchini Noodles with Tomato & Basil,,,http://www.yummly.com/recipe/external/Parmesan-Zucchini-Noodles-with-Tomato-_-Basil-1272003,1200,1,,,http://lh3.googleusercontent.com/I8RXURD33cEVpm02UB_3kJJM8MdiBkDtedmtFRJ0rapmZpqfIGmcH80-Y_VgbN979dDCvQoUA9ohrecbfBFJGg=s90,,
17,Toasted Corn & Zucchini Saute,,,http://www.yummly.com/recipe/external/Toasted-Corn-_-Zucchini-Saute-1469566,1500,1,,,http://lh3.ggpht.com/GE9nIh_zq6pXCZUdli7ZjRC7cxqeVyWTUuAUEZYcUPxJ65ove4wl_2pR7LFAemON9LzpzpsYArekEX0UpWlxjdY=s90,,
18,Sautéed Spinach with Pancetta and Dried Cranberries ,,,http://www.yummly.com/recipe/external/Sauteed-Spinach-with-Pancetta-and-Dried-Cranberries--1451321,1800,2,,,https://lh3.googleusercontent.com/6LBhKTLO12phS9er5SzdY_W1abLJ7qvuBOf8UamgJVatl46dFd3k65vKa1OlddCSSsOnjuDVSWlNiZXmTKES=s90,,
19,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
20,Mango Tzatziki Shrimp Bites,,,http://www.yummly.com/recipe/external/Mango-Tzatziki-Shrimp-Bites-1382065,1500,1,,,http://lh3.googleusercontent.com/goI6_E7bZumVPcE5HWYuZhCoeT-KBrEp57Nn2TtFHBdudMe1HFG8BlsbK07ilH0qEbYLQ1hWh6WU-XFxbk7j=s90,,
21,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
22,Lightened Up 7-Layer Dip,,,http://www.yummly.com/recipe/external/Lightened-Up-7-Layer-Dip-1192698,600,1,,,http://lh3.googleusercontent.com/NlTUgP_ehiLupvmVw3PKim0_aCRaJBifWcaYx9ordJOZX_NhowWFhhDnVPjGBf7aUkj3PvzIWw8l9QP0Ctwqsw=s90,,
23,Cheesecake Factory Avocado Egg Rolls,,,http://www.yummly.com/recipe/external/Cheesecake-Factory-Avocado-Egg-Rolls-519180,1200,1,,,http://lh6.ggpht.com/NWGgx8e7cDGpY3MWbZDP1O8VWk9W-a4VpFVXf7HfzWuE6bO39xNcjHbmoZcCVbawguroN48Y4ylfpKPhWulr=s90,,
24,Festive Holiday Cheese Ball for Kids,,,http://www.yummly.com/recipe/external/Festive-Holiday-Cheese-Ball-for-Kids-978402,1800,2,,,http://lh3.googleusercontent.com/KG7bvWakXSXcEBmFhFjmXgI29e3C_2EkUBsDs2SzUTvKho09kU3vbSbJaUQZWxelU_9VDeZ5BeC9gLzcWxpKvA=s90,,
25,Avocado Hummus,,,http://www.yummly.com/recipe/external/Avocado-Hummus-1073003,600,1,,,http://lh3.googleusercontent.com/BwEaMgqab1d8LbuT_K2ctWiqBvJxFh1qaHnV2CvJasSAaBVkLSSkx-zVDTIyc6Ub9jVkaHID5nEbFd0RYl34RUA=s90,,
26,Black Bean and Rice Freezer Burritos,,,http://www.yummly.com/recipe/external/Black-bean-and-rice-freezer-burritos-365074,1800,2,,,http://lh3.ggpht.com/v0Ffm-liBcfuTEdEYyxtz-5appwVu7W3i4xOpV77IihNT80Onw_FqGkZ4EmvgOaeanXu73-gw0pV1cng3Cnclw=s90,,
27,"Chicken, Cauliflower, Spinach Meal",,,http://www.yummly.com/recipe/external/Chicken_-Cauliflower_-Spinach-Meal-1451562,1200,1,,,https://lh3.googleusercontent.com/Nwcy3-7GCsFke0Qj4T-gLhFsa8LdhoC_Cwa6Gm1ECqECyyMUkRsOPgemtzYTdftKjRYYzDMtz_sjgkgOqJHqEQ=s90,,
28,Easy Black Bean Dip with Whole Wheat Pita Chips,,,http://www.yummly.com/recipe/external/Easy-black-bean-dip-with-whole-wheat-pita-chips-345917,1200,1,,,http://lh4.ggpht.com/MBLFH15dKQh0-NLCPTdLR6j0i9975md01JbtOmPga8RykF99Dc5F-zAZZJQ0ff-ie-kracFL3qfjiuJzkJKqvg=s90,,
29,Honey Garlic Salmon,,,http://www.yummly.com/recipe/external/Honey-Garlic-Salmon-1285094,1200,1,,,https://lh3.googleusercontent.com/3NERvVwLlhcsA1CfVrUl9f0xaETyP-ny7UbaXI6Pr7yANa0jFD0jLkmJcXjgLpqDXgwaIMD4MJ3rNMkdE--vxao=s90,,
30,Baharat Spice Mixes,,,http://www.yummly.com/recipe/external/Baharat-Spice-Mixes-498364,420,1,,,http://lh5.ggpht.com/uiC8FhLvWeMiuvej7JAb65a08nOsjzlEJXrOFWJDykFPqD1n4ZjbllzIQ1wjA32ckMAQ5bAtv8W8YNU3WoNf=s90,,
31,Kale Salad with Farro and Honey Dijon Dressing,,,http://www.yummly.com/recipe/external/Kale-Salad-with-Farro-and-Honey-Dijon-Dressing-1472383,900,1,,,https://lh3.googleusercontent.com/qz1IXaP-HhglktkNEpaxKEuJHqW6g9iBKy901HSmhOSMk-nrfX6KTDI18EfNlGEDyj7ObiXMohMiojwMwfsyGw=s90,,
32,Obsessively Good Avocado Cucumber Salad,,,http://www.yummly.com/recipe/external/Obsessively-Good-Avocado-Cucumber-Salad-1066048,900,1,,,http://lh3.googleusercontent.com/Vfv_kuyk_AV_ckczL_ZiG2GNVWdz0HdWmNVArvyJOFyike37tgrS9XXjU9Yfc02a_0Im_GGG6XaTx-lMSs07YA=s90,,
33,Parmesan Zucchini Noodles with Tomato & Basil,,,http://www.yummly.com/recipe/external/Parmesan-Zucchini-Noodles-with-Tomato-_-Basil-1272003,1200,1,,,http://lh3.googleusercontent.com/I8RXURD33cEVpm02UB_3kJJM8MdiBkDtedmtFRJ0rapmZpqfIGmcH80-Y_VgbN979dDCvQoUA9ohrecbfBFJGg=s90,,
34,Toasted Corn & Zucchini Saute,,,http://www.yummly.com/recipe/external/Toasted-Corn-_-Zucchini-Saute-1469566,1500,1,,,http://lh3.ggpht.com/GE9nIh_zq6pXCZUdli7ZjRC7cxqeVyWTUuAUEZYcUPxJ65ove4wl_2pR7LFAemON9LzpzpsYArekEX0UpWlxjdY=s90,,
35,Sautéed Spinach with Pancetta and Dried Cranberries ,,,http://www.yummly.com/recipe/external/Sauteed-Spinach-with-Pancetta-and-Dried-Cranberries--1451321,1800,2,,,https://lh3.googleusercontent.com/6LBhKTLO12phS9er5SzdY_W1abLJ7qvuBOf8UamgJVatl46dFd3k65vKa1OlddCSSsOnjuDVSWlNiZXmTKES=s90,,
36,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
37,Mango Tzatziki Shrimp Bites,,,http://www.yummly.com/recipe/external/Mango-Tzatziki-Shrimp-Bites-1382065,1500,1,,,http://lh3.googleusercontent.com/goI6_E7bZumVPcE5HWYuZhCoeT-KBrEp57Nn2TtFHBdudMe1HFG8BlsbK07ilH0qEbYLQ1hWh6WU-XFxbk7j=s90,,
38,Grilled Southwest Salmon,,,http://www.yummly.com/recipe/external/Grilled-Southwest-Salmon-1453349,1500,1,,,https://lh3.googleusercontent.com/IADxxllksk8uBIFbMtUYmQ5mI-xvsPpdUWoiK_MuNtzd2ARgJhkV1WDdwctdowYEUSh95sSDqOykokLcxSdmkA=s90,,
39,"Perfect for Quick Lunches, Fun Appetizers, and easy Lunchbox Additions!",,,http://www.yummly.com/recipe/external/Perfect-for-Quick-Lunches_-Fun-Appetizers_-and-easy-Lunchbox-Additions_-1448893,1800,2,,,https://lh3.googleusercontent.com/eIcSFD45rx1rUsjAPkR9gp5mOuZPLW0R8k0kxYnHVm_pJoYrZGqwhqNyMiTYu-hH_1n5oybUxvOQO1ZZvUcAFw=s90,,
40,Lightened Up 7-Layer Dip,,,http://www.yummly.com/recipe/external/Lightened-Up-7-Layer-Dip-1192698,600,1,,,http://lh3.googleusercontent.com/NlTUgP_ehiLupvmVw3PKim0_aCRaJBifWcaYx9ordJOZX_NhowWFhhDnVPjGBf7aUkj3PvzIWw8l9QP0Ctwqsw=s90,,
41,Baked Chipotle Chicken,,,http://www.yummly.com/recipe/external/Baked-Chipotle-Chicken-1472822,2700,2,,,https://lh3.googleusercontent.com/_KO5DxtLxZaa392xDyj18li8tGpwZYvrQeQcWX7zq5wwZ8YeKwIigz8jQlW1Irt6qgbFfBnCfI1e53fwOMVYyQ=s90,,
42,Lazy Girl Sweet + Spicy Lime Chicken,,,http://www.yummly.com/recipe/external/Lazy-Girl-Sweet-_-Spicy-Lime-Chicken-1083609,3300,2,,,http://lh3.googleusercontent.com/ujMlekMJEDfOT6QTWJppShXusxuoiDi3C4ELEujOsBldEtT_WVi_stRHOhfY6qO3sR2y0R-56FhBFe9J9l8U4qA=s90,,
43,Turkey Chili with Roasted Jalapeño Peppers,,,http://www.yummly.com/recipe/external/Turkey-Chili-with-Roasted-Jalapeno-Peppers-1464742,3600,3,,,https://lh3.googleusercontent.com/JnAPb--kUp7qkBYnzQr3QKU1YcdbzeR4ng23xuvRqYS1GjYra4tyt_981WbhYtxHS7xyWjBzsM6TUtG8AxDdbg=s90,,
44,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
45,Mango Tzatziki Shrimp Bites,,,http://www.yummly.com/recipe/external/Mango-Tzatziki-Shrimp-Bites-1382065,1500,1,,,http://lh3.googleusercontent.com/goI6_E7bZumVPcE5HWYuZhCoeT-KBrEp57Nn2TtFHBdudMe1HFG8BlsbK07ilH0qEbYLQ1hWh6WU-XFxbk7j=s90,,
46,Grilled Southwest Salmon,,,http://www.yummly.com/recipe/external/Grilled-Southwest-Salmon-1453349,1500,1,,,https://lh3.googleusercontent.com/IADxxllksk8uBIFbMtUYmQ5mI-xvsPpdUWoiK_MuNtzd2ARgJhkV1WDdwctdowYEUSh95sSDqOykokLcxSdmkA=s90,,
47,Homefries with Jalapeños,,,http://www.yummly.com/recipe/external/Homefries-with-Jalapenos-1451305,2700,2,,,https://lh3.googleusercontent.com/PUhNQqwnpeZrGXgE_CA9kR86iqCP0p_EuL3aIoKU9o1rB31MKMimGsiosh5zYMP2RQ3RpjQQY2lY7dRHP_KyvQ=s90,,
48,Lightened Up 7-Layer Dip,,,http://www.yummly.com/recipe/external/Lightened-Up-7-Layer-Dip-1192698,600,1,,,http://lh3.googleusercontent.com/NlTUgP_ehiLupvmVw3PKim0_aCRaJBifWcaYx9ordJOZX_NhowWFhhDnVPjGBf7aUkj3PvzIWw8l9QP0Ctwqsw=s90,,
49,Cheesecake Factory Avocado Egg Rolls,,,http://www.yummly.com/recipe/external/Cheesecake-Factory-Avocado-Egg-Rolls-519180,1200,1,,,http://lh6.ggpht.com/NWGgx8e7cDGpY3MWbZDP1O8VWk9W-a4VpFVXf7HfzWuE6bO39xNcjHbmoZcCVbawguroN48Y4ylfpKPhWulr=s90,,
50,Cauliflower Crust Pizza,,,http://www.yummly.com/recipe/external/Cauliflower-Crust-Pizza-757601,2100,2,,,http://lh3.googleusercontent.com/GcXzrR3StJTOqaem4LGRHP3h5LRW0GKMCfCDGJ3aEoEQKdDXCzMqjp4F1JajhDTCywaTICGL2kUuTTz4jWVTgt4=s90,,
51,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
52,Lightened Up 7-Layer Dip,,,http://www.yummly.com/recipe/external/Lightened-Up-7-Layer-Dip-1192698,600,1,,,http://lh3.googleusercontent.com/NlTUgP_ehiLupvmVw3PKim0_aCRaJBifWcaYx9ordJOZX_NhowWFhhDnVPjGBf7aUkj3PvzIWw8l9QP0Ctwqsw=s90,,
53,Cheesecake Factory Avocado Egg Rolls,,,http://www.yummly.com/recipe/external/Cheesecake-Factory-Avocado-Egg-Rolls-519180,1200,1,,,http://lh6.ggpht.com/NWGgx8e7cDGpY3MWbZDP1O8VWk9W-a4VpFVXf7HfzWuE6bO39xNcjHbmoZcCVbawguroN48Y4ylfpKPhWulr=s90,,
54,Black Bean and Rice Freezer Burritos,,,http://www.yummly.com/recipe/external/Black-bean-and-rice-freezer-burritos-365074,1800,2,,,http://lh3.ggpht.com/v0Ffm-liBcfuTEdEYyxtz-5appwVu7W3i4xOpV77IihNT80Onw_FqGkZ4EmvgOaeanXu73-gw0pV1cng3Cnclw=s90,,
55,"Chicken, Cauliflower, Spinach Meal",,,http://www.yummly.com/recipe/external/Chicken_-Cauliflower_-Spinach-Meal-1451562,1200,1,,,https://lh3.googleusercontent.com/Nwcy3-7GCsFke0Qj4T-gLhFsa8LdhoC_Cwa6Gm1ECqECyyMUkRsOPgemtzYTdftKjRYYzDMtz_sjgkgOqJHqEQ=s90,,
56,Creamy Cole Slaw,,,http://www.yummly.com/recipe/external/Creamy-cole-slaw-370511,1800,2,,,http://lh3.ggpht.com/VC0PwXCMXvdk2UONTVFn9roqSMgB633-7fp5RMbepZNTImTL1aRCSHE4dnTHAj8bO-YOi6EvTp9XCkAPa1Fm7EQ=s90,,
57,Feta Mandarin Asian Quinoa Salad,,,http://www.yummly.com/recipe/external/Feta-mandarin-asian-quinoa-salad-334691,600,1,,,http://lh5.ggpht.com/Go54GJHLkd5R4NXsF_Y0Nuk0y58Oqgd-LtAEjgJgvJZmbC4ODEfCSglB87RsTf6s6OibAGaZi2LrAt-6Gy3Oqw=s90,,
